node	code_as_printed	L	i1	i2	i3	folder_slots	em_slogan	riddle_reading	needed_string_len	source_page_in_wig
c01	4.3.1.3	4	3	1	3	2,8,18	我们是十进制计算的载体。	手指（十根手指＝十进制）	4	秒克 · 少年维持着烦恼 简介行
c02	14.4.1.12	14	4	1	12	1,3,20	木骨灰痕，在素笺留下沙沙碎响	铅笔（木杆、石墨灰痕、纸上沙沙）	14	植物神经紊乱 制作名单
c03	18.17.7.14	18	17	7	14	6,21,27	苦涩而清醒，只是有一点稀释。	美式咖啡（浓缩加水）	18	基围虾百科《极光》警告框
c04	7.3.4.5	7	3	4	5	7,19,25	您的飞行安全由我们记录	黑匣子／飞行记录仪	7	队列溢出文章 + 传真《赫尔墨斯夜航社》
c05	16.14.4.6	16	14	4	6	5,9,17	油汤焖入大米，白切皮脆肉香	海南鸡饭（鸡油饭＋白切鸡）	16	星浦植物博物馆《柔枝树》活动宣传卡
c06	4.4.1.3	4	4	1	3	11,16,24	引领远航者的方向	北极星	4	天好旅行指南 扩展阅读卡
c07	16.1.9.4	16	1	9	4	10,14,29	大爱Miraitowa！	Miraitowa＝东京 2020 奥运会吉祥物	16	两杯 app banner
c08	11.10.5.4	11	10	5	4	4,15,30	顶花带刺！	黄瓜	11	传真《放课后补番同好会》纸片骑士
c09	6.2.6.1	6	2	6	1	13,22,28	国宝级实力	熊猫（国宝）	6	尼罗 nile《最好的贺卡》广告卡
c10	17.12.7.3	17	12	7	3	12,23,26	复利的自然力量	自然常数 e／指数增长	17	小题 app 页脚（陈子衿全部 7 篇）
