position	clue_word_count	cure_answer	civilian_identity	identity_hint_word	index	indexed_letter
1	5	MILKY	羽衣ララ / Hagoromo Lala	Plumage -> 羽衣	1	M
2	4	MINT	秋元こまち / Akimoto Komachi	yuan -> 元	2	I
3	6	RHYTHM	南野奏 / Minamino Kanade	Play -> 奏	1	R
4	9	BUTTERFLY	聖あげは / Hijiri Ageha	saint -> 聖	6	R
5	5	HONEY	大森ゆうこ / Omori Yuko	forest -> 森	2	O
6	9	WONDERFUL	犬飼こむぎ / Inukai Komugi	wheat -> こむぎ	6	R
7	7	SCARLET	紅城トワ / Akagi Towa	Eternally -> Towa	1	S
8	4	IDOL	咲良うた / Sakura Uta	good -> 良	3	O
9	8	KYUNKYUN	紫雨こころ / Shigure Kokoro	heart -> こころ	7	U
10	6	ANSWER	明智あんな / Akechi Anna	sensible -> 明智	2	N
11	7	MERMAID	海藤みなみ / Kaido Minami	sea -> 海	7	D
12	7	BLOSSOM	花咲つぼみ / Hanasaki Tsubomi	Bud -> つぼみ	1	B
13	4	PINE	山吹祈里 / Yamabuki Inori	mountains -> 山	4	E
14	6	GELATO	立神あおい / Tategami Aoi	standing -> 立	3	L
15	6	FINALE	菓彩あまね / Kasai Amane	colorful -> 彩	5	L
