stage	input	calculation	output
photo4	E=5474; 兔-二报/怒-念印/咪-柴?	one-based differences	3.14=π
intermediate	阿/飞/正/传	concatenate	阿飞正传
target	阿飞正传 famous lines	minute + object	1960-04-16 14:59; 鸟
offset	anchor=2026-08-19 14:51	target-anchor	E=-34892632; E mod25=18
photo2_target	E mod14=2	caption frames + question	百家姓=S; cell=8→飞=FLY
bird	(2E+7) mod25	zero-based=18	cell=19; coordinate=(4,4)
bird_motion	row-major orbit advances two cells per minute	E-1 / E / E+1	cell 17(4, 2) -> 19(4, 4) -> 21(5, 1)
rejected_skipped_square	arrival cell 17 -> 19	label the crossed one-based cell 18 by A-Y	R (OVER THE RAINBOW rejected)
hint5_path	unique route shared by every solvable maze phase	(1, 1) -> (1, 2) -> (1, 3) -> (2, 3) -> (3, 3) -> (4, 3) -> (5, 3) -> (5, 4) -> (5, 5)	PATH
arrival_crossing	cell 17(4, 2) -> cell 19(4, 4)	intersect fixed route	(4,3) = cell 18 = route step 6
departure_control	cell 19(4, 4) -> cell 21(5, 1)	intersect fixed route	(13/3,3) (same crossing relation under the other minute-edge convention)
failed_crossing_paths	test all 25 bird phases against the fixed route	count intersecting arrival segments	25/25; CROSSING PATHS is non-discriminating
rejected_rainbow_rebus	test the full lcm(25,7)=175 bird/colour period	skipped square R and target colour BLUE	1/175; phase=93; OVER THE RAINBOW rejected
target_maze_control	E mod140=128	compare solvable phases (9, 65)	no traversable route at target minute
rejected_direct_line	entry cell=(1, 1); exit cell=(5, 5)	centre-to-centre straight route	(1, 1) -> (2, 2) -> (3, 3) -> (4, 4) -> (5, 5); AS THE CROW FLIES rejected
rejected_crow_geometry	target BIRD=(4, 4)	locate it on the direct entry-to-exit line	AS THE CROW FLIES rejected; no CROW variants restored
other_animals_geometry_control	target non-horse animals plus horse parity	check the entry-exit diagonal	goat=(1, 5); fish=(3, 5); tiger=(5, 1); bird=(4, 4); only BIRD is on the line; HORSE is parity-forbidden
diagonal_phase_control	test all 25 bird phases	count bird positions on the five-cell entry-exit diagonal	5/25; phases=(9, 12, 15, 18, 21)
joint_animal_geometry_control	test the lcm(3,5,25)=75 recovered-animal period plus horse parity	only BIRD can lie on the direct line	2/75; phases=(43, 68); target phase=68
rejected_time_flies_sync	test lcm(14,25)=350 phases	photo2 gives 百家姓=S and 飞=FLY while BIRD is in cell 19=S	1/350; phase=268; TIME FLIES rejected
raw_position	visible row=4; column=4	concatenate the two displayed coordinates	44 (rejected)
row_major_value	bird zero-based cell=18	convert page orbit to one-based cell	19
photo3_like_check	maze post fixed likes=19	compare with one-based bird cell	19=19
square_letter	one-based row-major square=19	A1Z26 used as an intermediate only	S
rejected_polybius	coordinate=(4,4)	standard I/J-combined 5×5 Polybius square	T (rejected)
animal_alphabet_control	fully recovered non-horse tracks	A-Y row-major	goat=(1, 5)→E; fish=(3, 5)→O; tiger=(5, 1)→U; bird=(4, 4)→S (EOUS only; horse cell and ordering are not recovered)
horse_overlap_control	horse anchor=(3, 2); target E parity=0	knight moves flip chessboard colour	no overlap with bird (4,4); adjacent (4,5) is not excluded
target_sequence_lookup	target photo2 frames 百家姓=S; bird one-based cell=19	S19 in 百家姓	尤
