source_expression	normalized_fodder	normalized_result	result	status
DANGER	ADEGNR	ADEGNR	GANDER	promoted component: WARNING=DANGER; its anagram is the core of GET A GANDER AT (OBSERVE)
DANGLE - G + H	ADEHLN	ADEHLN	HANDLE	promoted component: HANG=DANGLE with HIGH=H for GATE=G; its anagram is the core of GET A HANDLE ON (TACKLE)
MOUNT + C + P + OMEN	CEMMNNOOPTU	CEMMNNOOPTU	COMMENT UPON	rejected by user 2026-08-22: exact bag but overengineered abbreviations and no intended two-idiom transformation
GATE + DANGER + AT	AAADEEGGNRTT	AAADEEGGNRTT	GET A GANDER AT	promoted supporting identity for the OBSERVE endpoint
GATE + DANGLE + ON - G + H	AADEEGHLNNOT	AADEEGHLNNOT	GET A HANDLE ON	promoted supporting identity for the TACKLE endpoint
ON + TIE + C	CEINOT	CEINOT	NOTICE	rejected by user 2026-08-21; indirect synonym anagram was not the intended cryptic mechanism
ON + TIE + GATE	AEEGINOTT	AEEGINOTT	NEGOTIATE	rejected by user 2026-08-21; the literal GATE substitution had no cryptic licence and left OBSERVE/WARNING unused
AT + C + H + W	ACHTW	ACHTW	WATCH	rejected by user 2026-08-21; exact multiset equality was insufficient
MOUNT - U + C + OMEN	CEMMNNOOT	CEMMNNOOT	COMMENT ON	rejected by user 2026-08-21; exact multiset equality was insufficient
legacy free anagram AACLNR	AACLNR	AACLNR	CARNAL	rejected by user 2026-08-20
legacy free anagram AACILNRV	AACILNRV	AACILNRV	CARNIVAL	rejected by user 2026-08-20
legacy free anagram AAACLNRV	AAACLNRV	AAACLNRV	CARNAVAL	rejected by user 2026-08-20
legacy free anagram AACLNRU	AACLNRU	AACLNRU	LACUNAR	rejected by user 2026-08-20
