clip	duration_seconds	identification	latin_key	element	atomic_number	mapping_confidence	note
1	10.440	恋爱循环	Renai Circulation	Re	75	high	副歌音节和全局元素机制同时吻合
2	17.328	一念执着	Yi Nian Zhi Zhuo	Y	39	high	副歌连续歌词吻合；Counting Stars 已否定
3	12.192	It's a Small World (After All)	Small World	Sm	62	high	英语反复句吻合
4	24.624	声音玩具《没有人能够比我们更接近对方》	Soundtoy	S	16	medium	歌名英译 No one... 会给 No=102，需由 feeder 抽取消歧
5	21.120	MyGO!!!!!《焚音打》	Tanebi	Ta	73	high	日语歌词及公开参考乐句吻合
6	4.584	Badger Badger Badger	Badger	Ba	56	high	两音节同音高反复和原作节奏吻合
7	273.048	John Cage《4′33″》	Cage	Ca	20	high	273 秒数字静音
8	4.584	无法接通后的语音信箱提示	Voicemail	V	23	high	中文系统提示清楚
9	7.104	比较大的大提琴	Bi jiao da de da ti qin	Bi	83	high	歌词清楚
10	16.008	王绎龙《电音之王》	Wang Yilong	W	74	high	歌词清楚，取艺人惯用拼写
11	4.320	狐狸脚滑（狡猾）谐音笑话	Fox	F	9	high	用 Hu li 得 H=1 仍保持排序第一
