level	false_pair	why_false	pos_a	pos_b	dir_a	dir_b	letter
1	金=君子兰	君子兰是长春市花；对应别称应为“春城”，不是“金城”	7	17	NW	SW	I
2	豌豆豌豆=250	两个豌豆表示双发射手，其阳光费用为 200；250 是机枪射手升级费用	17	19	SW	SE	N
3	椰蛋树=鸡蛋	椰蛋树分类为椰子宝可梦，植物原型应是椰子树而非鸡蛋	7	12	NW	W	O
4	昙花=一再留下你孤独睡	这句歌词出自罗文《杜鹃》，不是《昙花》	17	19	SW	SE	N
5	万寿果=黄瓜	万寿果是木瓜的别名，不是黄瓜	5	23	NE	S	E
6	五果=葡萄	《本草纲目》中葡萄在果之五蓏类（瓜类），不属五果	14	18	E	S	F
7	狗牙根=芦笋	狗对应地支戌，但“芦笋”不含戌部件	18	21	S	SW	A
8	萱草=父爱	萱草通常象征母爱，不是父爱	14	17	E	SW	M
9	丁香=七里香	花札七月植物是萩（胡枝子），不是丁香	1	21	NW	SW	I
10	古超=印度尼西亚	台风名古超由密克罗尼西亚提供，不是印度尼西亚	9	17	NE	SW	L
11	西反=修理水管	残片可复原为板栗，但“修理水管”直接指向马里奥而非板栗，是本关的假相等	1	14	NW	E	Y
